Movie:                             Average Review: 
Jojo_Rabbit                        : 8.2
The_King_of_Staten_Island          : 7.2
Isle_of_Dogs                       : 8.3
Justice_League                     : 7.2
Parasite                           : 8.7
Tenet                              : 8.4
Marriage_Story                     : 7.8
Avengers_Endgame                   : 7.9
Murder_on_the_Orient_Express       : 5.4
Us                                 : 6.9
Bad_Moms_Christmas                 : 4.4
Ready_Player_One                   : 7.6
The_Lighthouse                     : 7.5
Rocketman                          : 7.4
Booksmart                          : 6.8
Deadpool_2                         : 8.5
Mulan                              : 5.5
WW84                               : 7.3
Emma                               : 6.7
Thor_Ragnarok                      : 8.9
Onward                             : 7.3
Oceans_8                           : 6.0
Sherlock_Gnomes                    : 3.8
Little_Women                       : 7.8
Knives_Out                         : 7.8
The_Irishman                       : 7.7
Killing_of_a_sacred_Deer           : 7.1
Black_Widow                        : 6.7
Birds_of_Prey                      : 6.0
Captain_Underpants                 : 6.2
The_Emoji_Movie                    : 2.4
Blade_Runner_2049                  : 8.6
Tomb_Raider                        : 6.3
Goodbye_Christopher_Robin          : 7.4
Bloodshot                          : 5.2
Joker                              : 8.3
Happy_Death_Day                    : 7.0
Super_Troopers_2                   : 6.9
The_Lego_Ninjago_Movie             : 6.7
A_Wrinkle_in_Time                  : 4.4
The_Invisible_Man                  : 7.0
Artemis_Fowl                       : 3.9
